block_date,SOL-Stablecoin volume_usd,Stablecoin Swaps volume_usd,Foreign Tokens volume_usd,LST Swaps volume_usd,Composites volume_usd,Tokenized Assets volume_usd,Project Tokens volume_usd,Memes volume_usd
2023-01-01,4163416.8438578555,217793.30424678404,185182.92071011604,1865215.7242027877,,,5673621.937450582,103739.12891470583
2023-01-02,10831891.840173928,690486.9357519895,333339.8951653239,4212442.650907827,,,14863729.675778769,158795.72959334715
2023-01-03,21227754.282124225,1513599.21165297,692863.508219415,7611644.035817438,,,22674838.77515041,391305.0425083917
2023-01-04,31450871.327321783,3400208.9058942418,851359.5057458672,9643830.254014375,,,50040845.7434188,660471.3196833107
2023-01-05,32998395.381529666,3408731.291063718,740865.7365424738,8906526.104805514,,,76551984.62574491,1702625.281682802
2023-01-06,27287512.00912869,4679407.38779333,391742.7594385758,5944184.6857494945,,,44326529.70529151,794294.4473973876
2023-01-07,12299678.721405722,2517984.931588881,109389.95976569495,1801643.876856523,,,22821204.941066463,184976.07690723764
2023-01-08,24060206.862594508,2407928.682175457,427348.1622021997,3992043.1337187155,,,18258079.25871546,264363.01740550995
2023-01-09,39529253.98738838,3235522.397693109,805682.5866093336,11396104.468744097,,,20724003.04624601,695612.4740458437
2023-01-10,26807213.55756724,1428554.4986293574,379731.6350949725,5982982.87739217,,,12428247.225247705,220062.95578135145
2023-01-11,21368345.891837362,1412954.148544036,776123.8154438502,5383154.400425588,,,11285698.232796142,143777.8070056341
2023-01-12,28089841.50949144,2192374.0157438647,529782.4238303545,6107949.972040361,,,15804099.042002795,220789.10152503222
2023-01-13,23438975.794075064,1479655.6973438093,957383.5429379486,7716834.164782461,,,7708260.093553924,314966.8176393211
2023-01-14,49290750.13989051,4410376.413704192,1282085.666568931,25404878.712793246,,,24793511.86474546,517657.09077175695
2023-01-15,29504950.38739805,2458187.7671848396,699973.1166994132,10149786.599275108,,,21793612.078147538,507765.3531333064
2023-01-16,32507931.797448903,2165858.210825029,598930.0812903948,10950492.833994772,,,12955232.106617272,252293.87202189252
2023-01-17,23106367.660712212,1080270.6736730626,464408.80803494237,5598620.987220916,,,7827113.410027032,233924.48038304455
2023-01-18,46213870.73047516,2048471.8479409644,759740.4304895236,14655821.536339886,,,13612399.549258517,237091.82350010515
2023-01-19,18935602.425756514,1028926.1860956079,428653.7850458131,6604115.016674147,,,7362374.148625415,103198.61137390415
2023-01-20,28163546.860618733,1178242.1449773193,508371.68661555694,7655076.093180102,,,8178881.437186028,179696.50976987905
2023-01-21,31253379.382355675,1297524.7150042215,620456.1384761906,10108856.61839467,,,10311585.576580072,175907.7015710395
2023-01-22,21726329.549596384,942449.2208396533,426197.8246188431,5740665.027586967,,,7430422.112818762,85850.21847698298
2023-01-23,38007295.89405121,2315501.427254629,1012543.0993023561,12113913.607628841,,,7640093.500951439,108788.24016563615
2023-01-24,19549474.991219614,1259073.3280397048,343240.1023471146,6331030.230853965,,,6156411.347614102,104331.4904420839
2023-01-25,29637020.80205162,1481934.257003161,483275.8344272604,8477146.51532816,,,6599738.312371129,127599.79962293677
2023-01-26,23666706.67541766,1481938.864083382,403837.83058918983,6092001.407377733,,,6100540.323716786,75212.98488750242
2023-01-27,17725465.939309515,1137187.965411197,335752.80599415494,5479534.747360969,,,5357961.313662981,97869.54954072327
2023-01-28,13117576.113817072,579875.5315656683,230260.74379318755,3488385.4986123214,,,4473387.520595091,63114.47787387078
2023-01-29,23147688.785349447,1170866.1148316474,413142.69122435286,7312529.032558875,,,8052274.966443932,150597.74171450236
2023-01-30,23100670.204562273,1222304.0993937934,471202.6719640578,6896606.459281834,,,8458734.426429281,194934.35855406802
2023-01-31,15144728.05982493,624426.6027864169,192878.26209841543,3422141.346476231,,,5124724.738860984,52763.90617350999
2023-02-01,29349740.002558846,1272063.1685251682,502392.53304854245,7418869.629863236,,,8967312.480351573,98648.98195978394
2023-02-02,23584361.86948984,1149711.901010843,505798.6615847059,6169582.188208813,,,8268498.978135042,189149.248261497
2023-02-03,16630372.405414646,914136.276006281,446219.4427778357,4090296.941995604,,,9492678.673978886,97380.98629201978
2023-02-04,9286476.604567027,857194.5160263899,126706.7514914971,1610537.812962853,,,9795838.165723857,410043.6804528507
2023-02-05,13234166.026570665,1068369.4776609715,243044.25187210322,4390083.267547726,,,9907039.631934198,322276.82444171474
2023-02-06,11120211.79333806,825608.9744430104,236837.72329685802,3081199.734013915,,,6571089.041273998,100104.9344024137
2023-02-07,17337232.30576424,1125491.525575638,328201.625436583,3934851.073275608,,,9970064.59866939,388564.3663724463
2023-02-08,15387027.377813866,1047658.2069795447,267949.495012288,4314223.070365213,,,8681819.320299558,216963.65801502793
2023-02-09,21359485.938518345,1620083.659281036,611822.9893368445,6978682.475493943,,,8893481.845062759,191008.94802435156
2023-02-10,24782711.525612354,1045646.0582978027,415177.2445090825,6626332.139247113,,,6213530.9957293235,72576.91514068587
2023-02-11,6671560.942614272,700787.9927612238,177588.25083190127,2316578.175965547,,,3898171.2134410576,34313.76674664669
2023-02-12,12029271.683341023,668939.7918406061,303022.0783028302,3557464.8253314295,,,5214223.1555352295,98627.94511058406
2023-02-13,16141928.831512425,1998887.4209152302,316263.14619267225,6054364.4289282905,,,8007212.707446487,243828.88790525094
2023-02-14,23601321.655882798,1554185.1124714906,446626.0893257078,6783503.7189843645,,,8198577.868275495,116494.29743603397
2023-02-15,19190180.073269345,1110214.0624349506,354991.3390660434,4850747.9978489,,,7646554.635461955,149084.04589642875
2023-02-16,25284930.599091213,1413080.9611863862,622343.7107414792,7103985.638611291,,,12816117.919009287,142468.02975510835
2023-02-17,16526363.86184928,838917.7521005233,430469.970726567,4035225.3941915613,,,8573156.826515682,175951.65924836945
2023-02-18,12433372.55010251,891425.4247806196,400913.3427310438,3262618.00760896,,,11049995.368450245,531378.6799115946
2023-02-19,29246455.191733822,1486712.4473726845,1298810.6109770932,8017000.583232483,,,12609981.80778088,145140.18857751746
2023-02-20,34165489.10624144,1572945.787836824,1074336.7526401079,8213636.026141396,,,10769280.112924388,207674.68784689828
2023-02-21,29957011.22891345,1945879.6498710662,794888.0956556676,7852670.7703203205,,,11260533.797254741,194543.86933510922
2023-02-22,25264164.95445423,1441606.1162868247,879255.708685182,6194881.605002749,,,8829965.485486846,71848.82433116576
2023-02-23,16879269.603905268,753488.270328012,612512.2586902906,3633668.18780481,,,7640376.273535035,60727.59261593382
2023-02-24,19949741.41682109,1470836.3534751262,766918.6580178705,5401772.488438709,,,11951228.612748558,68846.33524980825
2023-02-25,2622471.001931584,117024.66035941383,128771.83380399225,815114.6651479992,,,1324969.3071108568,6271.611254629575
2023-02-26,11378159.685951471,605540.5684682447,522580.0681928398,4804762.077149237,,,4435081.629940836,92961.0295421111
2023-02-27,12186689.965904087,606566.1926069928,679657.6412159123,3837658.291030238,,,4744756.665719504,68633.47572099141
2023-02-28,11122969.63602057,702023.699342243,638713.0583238497,3135674.2351167225,,,8727911.176152123,156166.74657495477
2023-03-01,11209198.220026756,496837.11318336043,1028747.90281127,3999932.63184356,,,4914828.338089977,47871.77807145808
2023-03-02,9854017.94336971,927288.930252586,707819.6422649939,2685452.3572076983,,,8411368.600098414,120127.85097124866
2023-03-03,13200076.813739493,1279790.534441987,900477.2712997609,4361698.562201717,,,7011433.836825494,94303.57844276488
2023-03-04,8447531.50443998,572694.1719924167,487851.6573272373,2868711.0583827156,,,4804785.22760717,61456.02663886017
2023-03-05,8896615.367907478,521432.8328839444,655468.7194265118,2634423.456149483,,,4433155.869784774,34283.71827260653
2023-03-06,8072918.075976989,695841.3342607619,426482.8716756419,3211267.335416299,,,3045892.9052584777,52489.53728137887
2023-03-07,13977429.520863522,989860.8945493628,619833.7319822694,4488735.149791908,,,5907600.152330961,52989.6983798921
2023-03-08,15343581.115546085,1739336.095670208,846857.8471951105,6170270.037089734,,,6120265.979600533,93905.2010764786
2023-03-09,22780367.157818668,2301852.0173075334,1027110.0653726291,8049078.601794254,,,12270354.030695565,112775.53884830586
2023-03-10,33924337.41648611,6372292.055303782,1111180.3264005743,12364960.705456696,,,7298458.4580922425,194833.43070455894
2023-03-11,42105707.571194306,2453779.7921934333,3220319.6314775143,23649131.608331267,,,11426866.710701412,136859.56159329746
2023-03-12,23170959.327649787,883831.3760929673,1292077.2858154536,6490312.154304616,,,3518095.834666656,114366.94693628079
2023-03-13,46907622.2894406,2389328.6613317737,1321614.3052608173,10767258.241003983,,,7017226.819698554,127465.68328478461
2023-03-14,32510342.115295596,2010575.6716423538,1432679.0797028495,8451007.898451282,,,6829755.316477712,104673.54808669697
2023-03-15,30415450.800994024,2384792.7216472556,896899.4510475057,8082599.835461326,,,7012384.8008084465,98773.76323785585
2023-03-16,23893753.75509433,1290501.4055674428,556684.0411342991,4700664.195612959,,,4893542.761016186,94012.75218103372
2023-03-17,28292123.27704712,1905291.8184237885,840547.4328003892,6788002.270018467,,,7756370.068037191,84498.76143843697
2023-03-18,34215514.394462794,2104494.583957837,876302.3058806912,8672519.351849928,,,8579025.482073506,215513.07399394814
2023-03-19,24000393.024116717,1174483.6404813942,800103.6867903721,4788218.474250897,,,5741783.194213167,97377.90129493891
2023-03-20,50502671.37964806,2540135.159308787,1272135.8350384594,14191405.519582173,,,5349634.599827923,165396.60883649733
2023-03-21,35382804.36141747,1403885.5596509392,795006.9566042701,8843858.527535582,,,4571382.373083316,70398.11922975724
2023-03-22,33816704.26754912,1680074.4088794582,818419.0058423476,8426058.663219415,,,5663067.368113519,51398.20787242374
2023-03-23,21414195.621110357,931844.4088719727,560751.625894812,5096532.500772732,,,3691242.7884058976,53004.452789662275
2023-03-24,21821371.851927377,1424077.818853725,581160.1925466744,7012082.110573859,,,3285910.435666326,83000.2935921272
2023-03-25,12469708.250805484,763911.8471515386,196422.1984941766,3725550.524861416,,,3762283.2472746214,28418.771358625418
2023-03-26,9200909.989068232,1223523.5407831674,190685.68040067973,4893159.613586244,,,3930455.2970110443,27187.455148988673
2023-03-27,14491839.10167415,911622.7547514279,342997.2631739196,4436362.73034924,,,3202760.5432239044,150628.90022838925
2023-03-28,15524454.470582785,873884.3068815852,274584.14956545614,5739754.054490393,,,2605062.71050687,42153.72894914337
2023-03-29,14071572.295200953,752943.8238749794,385890.98823484086,3957560.0468190014,,,3466904.828771066,43348.30936659673
2023-03-30,18566424.8463114,847628.1163703561,418520.0699271597,6479876.109777187,,,5980951.588411661,48375.46287473997
2023-03-31,14832449.859960288,898293.1802680128,343696.0089384584,4754476.528063327,,,5762995.036423136,35855.96892582993
2023-04-01,10352400.03587808,518277.64684160624,234092.520851772,2470461.2028491693,,,5461393.386113952,61103.44441412472
2023-04-02,9803525.945547374,724254.4889807245,196904.1014717853,2878121.6748612816,,,6381423.91060933,93732.91271160031
2023-04-03,21350777.45525138,1335842.3544701708,557860.541878421,5744677.287894526,,,4318356.228844495,232842.496968714
2023-04-04,14683515.477284744,854623.1829691314,421102.5251299433,2537964.8403173084,,,2922585.277987793,46594.30070320522
2023-04-05,12496466.84476354,1394451.703533073,442848.6771241589,3139356.214202357,,,2733683.0181536404,45089.061321068126
2023-04-06,11250052.593989186,564306.3514059642,366121.2688740707,3230674.2028846447,,,2097981.9846316124,27382.447810709255
2023-04-07,8818847.244956793,978412.705675791,346490.6872815819,2360444.538660896,,,3014505.3609250477,37521.230821256504
2023-04-08,5932249.0882307375,464226.36550409545,320837.96358788124,2128621.7209921586,,,2159550.7887828294,45868.27258766318
2023-04-09,6511972.428744692,548849.4615160307,194342.05717342903,1972990.344822721,,,2395827.580995127,61220.01666917461
