block_date,type,volume
2023-01-01,foreign_tokens,185182.92071011604
2023-01-01,lst_swaps,1865215.7242027877
2023-01-01,memes,103739.12891470583
2023-01-01,project_tokens,5673621.937450582
2023-01-01,sol_stablecoin,4163416.8438578555
2023-01-01,stablecoin_swaps,217793.30424678404
2023-01-02,foreign_tokens,333339.8951653239
2023-01-02,lst_swaps,4212442.650907827
2023-01-02,memes,158795.72959334715
2023-01-02,project_tokens,14863729.675778769
2023-01-02,sol_stablecoin,10831891.840173928
2023-01-02,stablecoin_swaps,690486.9357519895
2023-01-03,foreign_tokens,692863.508219415
2023-01-03,lst_swaps,7611644.035817438
2023-01-03,memes,391305.0425083917
2023-01-03,project_tokens,22674838.77515041
2023-01-03,sol_stablecoin,21227754.282124225
2023-01-03,stablecoin_swaps,1513599.21165297
2023-01-04,foreign_tokens,851359.5057458672
2023-01-04,lst_swaps,9643830.254014375
2023-01-04,memes,660471.3196833107
2023-01-04,project_tokens,50040845.7434188
2023-01-04,sol_stablecoin,31450871.327321783
2023-01-04,stablecoin_swaps,3400208.9058942418
2023-01-05,foreign_tokens,740865.7365424738
2023-01-05,lst_swaps,8906526.104805514
2023-01-05,memes,1702625.281682802
2023-01-05,project_tokens,76551984.62574491
2023-01-05,sol_stablecoin,32998395.381529666
2023-01-05,stablecoin_swaps,3408731.291063718
2023-01-06,foreign_tokens,391742.7594385758
2023-01-06,lst_swaps,5944184.6857494945
2023-01-06,memes,794294.4473973876
2023-01-06,project_tokens,44326529.70529151
2023-01-06,sol_stablecoin,27287512.00912869
2023-01-06,stablecoin_swaps,4679407.38779333
2023-01-07,foreign_tokens,109389.95976569495
2023-01-07,lst_swaps,1801643.876856523
2023-01-07,memes,184976.07690723764
2023-01-07,project_tokens,22821204.941066463
2023-01-07,sol_stablecoin,12299678.721405722
2023-01-07,stablecoin_swaps,2517984.931588881
2023-01-08,foreign_tokens,427348.1622021997
2023-01-08,lst_swaps,3992043.1337187155
2023-01-08,memes,264363.01740550995
2023-01-08,project_tokens,18258079.25871546
2023-01-08,sol_stablecoin,24060206.862594508
2023-01-08,stablecoin_swaps,2407928.682175457
2023-01-09,foreign_tokens,805682.5866093336
2023-01-09,lst_swaps,11396104.468744097
2023-01-09,memes,695612.4740458437
2023-01-09,project_tokens,20724003.04624601
2023-01-09,sol_stablecoin,39529253.98738838
2023-01-09,stablecoin_swaps,3235522.397693109
2023-01-10,foreign_tokens,379731.6350949725
2023-01-10,lst_swaps,5982982.87739217
2023-01-10,memes,220062.95578135145
2023-01-10,project_tokens,12428247.225247705
2023-01-10,sol_stablecoin,26807213.55756724
2023-01-10,stablecoin_swaps,1428554.4986293574
2023-01-11,foreign_tokens,776123.8154438502
2023-01-11,lst_swaps,5383154.400425588
2023-01-11,memes,143777.8070056341
2023-01-11,project_tokens,11285698.232796142
2023-01-11,sol_stablecoin,21368345.891837362
2023-01-11,stablecoin_swaps,1412954.148544036
2023-01-12,foreign_tokens,529782.4238303545
2023-01-12,lst_swaps,6107949.972040361
2023-01-12,memes,220789.10152503222
2023-01-12,project_tokens,15804099.042002795
2023-01-12,sol_stablecoin,28089841.50949144
2023-01-12,stablecoin_swaps,2192374.0157438647
2023-01-13,foreign_tokens,957383.5429379486
2023-01-13,lst_swaps,7716834.164782461
2023-01-13,memes,314966.8176393211
2023-01-13,project_tokens,7708260.093553924
2023-01-13,sol_stablecoin,23438975.794075064
2023-01-13,stablecoin_swaps,1479655.6973438093
2023-01-14,foreign_tokens,1282085.666568931
2023-01-14,lst_swaps,25404878.712793246
2023-01-14,memes,517657.09077175695
2023-01-14,project_tokens,24793511.86474546
2023-01-14,sol_stablecoin,49290750.13989051
2023-01-14,stablecoin_swaps,4410376.413704192
2023-01-15,foreign_tokens,699973.1166994132
2023-01-15,lst_swaps,10149786.599275108
2023-01-15,memes,507765.3531333064
2023-01-15,project_tokens,21793612.078147538
2023-01-15,sol_stablecoin,29504950.38739805
2023-01-15,stablecoin_swaps,2458187.7671848396
2023-01-16,foreign_tokens,598930.0812903948
2023-01-16,lst_swaps,10950492.833994772
2023-01-16,memes,252293.87202189252
2023-01-16,project_tokens,12955232.106617272
2023-01-16,sol_stablecoin,32507931.797448903
2023-01-16,stablecoin_swaps,2165858.210825029
2023-01-17,foreign_tokens,464408.80803494237
2023-01-17,lst_swaps,5598620.987220916
2023-01-17,memes,233924.48038304455
2023-01-17,project_tokens,7827113.410027032
2023-01-17,sol_stablecoin,23106367.660712212
2023-01-17,stablecoin_swaps,1080270.6736730626
2023-01-18,foreign_tokens,759740.4304895236
2023-01-18,lst_swaps,14655821.536339886
2023-01-18,memes,237091.82350010515
2023-01-18,project_tokens,13612399.549258517
2023-01-18,sol_stablecoin,46213870.73047516
2023-01-18,stablecoin_swaps,2048471.8479409644
2023-01-19,foreign_tokens,428653.7850458131
2023-01-19,lst_swaps,6604115.016674147
2023-01-19,memes,103198.61137390415
2023-01-19,project_tokens,7362374.148625415
2023-01-19,sol_stablecoin,18935602.425756514
2023-01-19,stablecoin_swaps,1028926.1860956079
2023-01-20,foreign_tokens,508371.68661555694
