block_date,dex,volume
2023-01-01,lifinity,1453555.352317262
2023-01-01,meteora,25505.590475322115
2023-01-01,orca,8455495.714498842
2023-01-01,other,28657.409861137596
2023-01-01,raydium,2245755.7922302913
2023-01-02,lifinity,2468158.211954605
2023-01-02,meteora,75290.57285541002
2023-01-02,orca,24180004.15568634
2023-01-02,other,50784.74500802958
2023-01-02,raydium,4316449.041866817
2023-01-03,lifinity,3817636.6548288437
2023-01-03,meteora,252823.0318734514
2023-01-03,orca,39697265.79192996
2023-01-03,other,174494.3607798472
2023-01-03,raydium,10169785.016061097
2023-01-04,lifinity,10017688.238634828
2023-01-04,meteora,301284.2440662668
2023-01-04,orca,72500699.8200292
2023-01-04,other,142075.85864501237
2023-01-04,raydium,13085838.894702706
2023-01-05,lifinity,7367839.898834695
2023-01-05,meteora,251629.13510321986
2023-01-05,orca,96276305.8893602
2023-01-05,other,177751.54084424462
2023-01-05,raydium,20235601.957228534
2023-01-06,lifinity,5480548.634754055
2023-01-06,meteora,110621.10603479597
2023-01-06,orca,65715084.875220515
2023-01-06,other,72977.44866069157
2023-01-06,raydium,12044438.930130014
2023-01-07,lifinity,2447274.018988101
2023-01-07,meteora,66155.17186001461
2023-01-07,orca,32420466.941857867
2023-01-07,other,18758.963596488404
2023-01-07,raydium,4782223.411287956
2023-01-08,lifinity,4210875.464433694
2023-01-08,meteora,86521.63482872298
2023-01-08,orca,33437966.380193662
2023-01-08,other,46204.50057982246
2023-01-08,raydium,11628401.136775166
2023-01-09,lifinity,11735001.599570865
2023-01-09,meteora,192507.6400616191
2023-01-09,orca,44409466.56252086
2023-01-09,other,138127.55951067313
2023-01-09,raydium,19911075.599063616
2023-01-10,lifinity,7667645.823188252
2023-01-10,meteora,157420.85909036544
2023-01-10,orca,29711106.96920852
2023-01-10,other,122431.67134237487
2023-01-10,raydium,9588187.426882813
2023-01-11,lifinity,5635293.818758078
2023-01-11,meteora,175784.334736905
2023-01-11,orca,26274618.39792048
2023-01-11,other,244857.63094374945
2023-01-11,raydium,8039500.11369256
2023-01-12,lifinity,6951807.662317001
2023-01-12,meteora,262913.7082832128
2023-01-12,orca,36127832.81348806
2023-01-12,other,273067.55711632734
2023-01-12,raydium,9329214.323430456
2023-01-13,lifinity,4394666.344561415
2023-01-13,meteora,153511.88453746442
2023-01-13,orca,28140829.55040628
2023-01-13,other,346038.0882481947
2023-01-13,raydium,8581030.242578898
2023-01-14,lifinity,8224674.4570564795
2023-01-14,meteora,562075.1921183922
2023-01-14,orca,63774263.64763738
2023-01-14,other,752047.7586091153
2023-01-14,raydium,32386198.833052304
2023-01-15,lifinity,7771356.634984851
2023-01-15,meteora,342474.76642759587
2023-01-15,orca,40327650.79217425
2023-01-15,other,241448.36004428944
2023-01-15,raydium,16431344.748207904
2023-01-16,lifinity,7932490.081690893
